0,顶级菜单,Root,000,"",fa fa-television,0,"",true,Administrator,2012-10-01 00:00:00.000,false,0x000000000000384D
2019122410042707389827aef86555d,报表管理,ReportManagement,0,,fa  fa-table,12,,true,admin,2019-12-24 10:04:27.000,false,0x0000000000027112
201912241005229109363063501d24f,仓库报表,Warehouse Report,2019122410042707389827aef86555d,,fa  fa-puzzle-piece,0,,true,admin,2019-12-24 10:05:22.000,false,0x000000000000FA01
2019122513441951214947ea60aefad,欧莱雅出库清单,OLY OutGoing List ,201912241005229109363063501d24f,OLYPackingList,fa fa-puzzle-piece,0,,true,admin,2019-12-25 13:44:19.000,true,0x0000000000003888
2019123009100140258234c8769d56c,罐装报表,Canning Report,2019122410042707389827aef86555d,,fa fa-puzzle-piece,0,,true,admin,2019-12-30 09:10:01.000,false,0x000000000000C7B4
20191230104825915361256943a0420,销售出库明细,Sales issue details,201912241005229109363063501d24f,OtherShipOrderDetail,fa fa-puzzle-piece,0,,true,admin,2019-12-30 10:48:25.000,true,0x000000000000388C
202001011209262470819f234a9cc66,设备消毒清单,DledEquipment List,2019123009100140258234c8769d56c,DledEquipmentList,fa fa-puzzle-piece,0,,true,admin,2020-01-01 12:09:26.000,true,0x000000000000388D
202001011331138811564d56d9ad980,设备消毒曲线,DIData,2019123009100140258234c8769d56c,DIData,fa fa-puzzle-piece,0,,true,admin,2020-01-01 13:31:13.000,true,0x000000000000C7C1
20200102183425888964259b5da52d8,宝洁出库单,BJ OutGoing List,201912241005229109363063501d24f,BJShipOrderDetail,fa fa-puzzle-piece,0,,true,admin,2020-01-02 18:34:25.000,true,0x000000000000C7A3
20200106083845811791816b1b14623,工单上料列表,MfgOrderLoadLotList,2019123009100140258234c8769d56c,MfgOrderLoadLotList,fa fa-puzzle-piece,0,,false,admin,2020-01-06 08:38:45.000,true,0x0000000000017706
2020021112221545714072db2c8802f,工艺流程,TechnologicalProcess,202002111220381071409fe86d51064,,fa fa-puzzle-piece,0,,true,admin,2020-02-11 12:22:15.457,false,0x000000000000C356
2020021112311036713933c7d92e165,工艺流程,ProcessFlow,0,,fa  fa-ils,1,,true,admin,2020-02-11 12:31:10.000,false,0x000000000002711D
2020021112315564714004791f7cc51,工艺流程模块,ProcessModule,2020021112311036713933c7d92e165,,fa fa-puzzle-piece,0,,true,admin,2020-02-11 12:31:55.647,false,0x000000000000C35B
2020021112324989714025364dbb6b8,操作,operation,2020021112315564714004791f7cc51,MESGYLC_Operation,fa fa-puzzle-piece,0,,false,admin,2020-02-11 12:32:49.000,true,0x000000000000D6DC
20200211123408937142789a38a8aee,操作指导,OperationGuidance,2020021112315564714004791f7cc51,MESGYLC_Recipe,fa fa-puzzle-piece,0,,true,admin,2020-02-11 12:34:08.000,true,0x000000000000C361
20200211123508947140198f8b87e7a,工序,WorkingProcedure,2020021112315564714004791f7cc51,TechnologicalProcess/MESGYLC_Process,fa fa-puzzle-piece,0,,true,admin,2020-02-11 12:35:08.000,true,0x000000000000C75C
20200211142753943351738005cafdd,BPR,BPR,2020021112315564714004791f7cc51,TechnologicalProcess/MESGYLC_BPR,fa fa-puzzle-piece,0,,true,admin,2020-02-11 14:27:53.000,true,0x000000000000C75B
2020021115504167148726e8ad810a3,配置批量,CapacityList,2020021112315564714004791f7cc51,MESGYLC_CapacityList,fa fa-puzzle-piece,0,,true,admin,2020-02-11 15:50:41.670,true,0x000000000000C365
202002111628548962321b3783f2168,实验室报表,Lab Report,2019122410042707389827aef86555d,,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:28:54.000,false,0x000000000000C7B5
2020021116302493324000811c17f07,查询管理,Query,202107121146518015020856b509fb6,,fa  fa-search,0,,true,admin,2020-02-11 16:30:24.000,false,0x0000000000027103
202002111630423331969cba7a8cc01,成品报表,Finished Product Report,2019122410042707389827aef86555d,,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:30:42.000,false,0x000000000000C7BC
202002111647293606445fa876dcb30,设备停机时间表,EquipmentDownTimeReport,2019123009100140258234c8769d56c,EquipmentDownTimeReport,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:47:29.000,true,0x000000000000C739
202002111652001616337979c5039ae,收发料查询,ReceiptShipmentQuery,2020021116302493324000811c17f07,ReceiptShipmentQuery,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:52:00.000,true,0x000000000000C73A
202002111652262801210695525fa29,库存查询,StockQuery,2020021116302493324000811c17f07,StockQuery2?LotEstate=0,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:52:26.000,true,0x000000000002EE12
2020021116525944522240c2a5a355d,销售装车查询2,BillhiStoryQuery2,2020021116302493324000811c17f07,BillhiStoryQuery2,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:52:59.000,true,0x0000000000023282
202002111653198304330a92503749f,到期物料,ExpireMateriel,2020021116302493324000811c17f07,ExpireMateriel,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:53:19.000,true,0x000000000000C73E
2020021116571955936443368a10189,在线产品检验表（检验通用项目）,Online product check report,202002111630423331969cba7a8cc01,OnlineProductCheck,fa fa-puzzle-piece,0,,true,admin,2020-02-11 16:57:19.000,true,0x000000000000C7B9
202002111816281108035fc8810006c,罐装巡检工艺设置,MESGYLC_CIPSettings,2020021112315564714004791f7cc51,MESGYLC_CIPSettings,fa fa-puzzle-piece,7,,false,admin,2020-02-11 18:16:28.000,true,0x000000000000D6DA
2020021214564563029509d090c1a5b,罐装工艺审批,MESGYLC_FPA,2020021112315564714004791f7cc51,MESGYLC_FPA,fa fa-puzzle-piece,0,,true,admin,2020-02-12 14:56:45.000,true,0x0000000000011952
202002132211278004077f95b181764,罐装巡检工艺审批,MESGYLC_CIPApprove,2020021112315564714004791f7cc51,MESGYLC_CIPApprove,fa fa-puzzle-piece,8,,false,admin,2020-02-13 22:11:27.000,true,0x000000000000D6DB
202002141202510089544ce42fffd54,包装信息查询,ProductPackageWay,2020021116302493324000811c17f07,ProductPackageWay,fa fa-puzzle-piece,0,,true,admin,2020-02-14 12:02:51.000,true,0x000000000000C742
20200214120350346348362065011e7,BPR配置批量,BPRSize,2020021116302493324000811c17f07,BPRSize,fa fa-puzzle-piece,0,,true,admin,2020-02-14 12:03:50.000,true,0x000000000000C743
20200214120752728211866336d93c8,工单产出入库查询,MoinStock,2020021116302493324000811c17f07,MoinStock,fa fa-puzzle-piece,0,,true,admin,2020-02-14 12:07:52.727,true,0x000000000000C744
2020021412084778036061f75efeb5e,工单批次查询,MfgOrderBatch,2020021116302493324000811c17f07,MfgOrderBatch,fa fa-puzzle-piece,0,,true,admin,2020-02-14 12:08:47.780,true,0x000000000000C745
202002151505345819836bc929aa67d,成品批次,MFGBacthList,2020021116302493324000811c17f07,MFGBacthList,fa fa-puzzle-piece,0,,true,admin,2020-02-15 15:05:34.583,true,0x000000000000C74B
20200217092055688765885f024e855,产品检测通用检验报表,OQC,202002111628548962321b3783f2168,OQC,fa fa-puzzle-piece,0,,true,admin,2020-02-17 09:20:55.000,true,0x0000000000023289
2020021709415646416259506cb61de,半成品（原液）检验 ,Blanks,202002111628548962321b3783f2168,Blanks,fa fa-puzzle-piece,0,,false,admin,2020-02-17 09:41:56.000,true,0x0000000000023287
2020021709425842361422eb4cf907a,原料检验,Stock,202002111628548962321b3783f2168,Stock,fa fa-puzzle-piece,0,,false,admin,2020-02-17 09:42:58.000,true,0x0000000000023288
2020021809494446372675c322a1e6d,安利-罐装头检验报告,AnLiInspection_Filler,202002111628548962321b3783f2168,AnLiInspection_Filler,fa fa-puzzle-piece,0,,true,admin,2020-02-18 09:49:44.000,true,0x000000000000C7BE
202002180950221328812de02577564,安利-到货检验报告,AnLiInspection_BP,202002111628548962321b3783f2168,AnLiInspection_BP,fa fa-puzzle-piece,0,,true,admin,2020-02-18 09:50:22.000,true,0x000000000000C7BF
202002181534476093521aea3df7492,成品外观检查报表,InspectionSYSCPAppearance,202002111630423331969cba7a8cc01,InspectionSYSCPAppearance,fa fa-puzzle-piece,0,,true,admin,2020-02-18 15:34:47.000,true,0x000000000000C788
2020022012391216278481a9c1175dd,在线PGA检查表,GetOnLinePGAppearanceItem,202002111630423331969cba7a8cc01,GetOnLinePGAppearanceItem,fa fa-puzzle-piece,0,,true,admin,2020-02-20 12:39:12.000,true,0x000000000002EE2F
20200222103449720573329f83421ab,企业架构,EnterpriseArchitecture,0,spl,fa  fa-sitemap,3,,true,admin,2020-02-22 10:34:49.000,false,0x0000000000027109
2020022211241477816490131385abc,企业架构模块,ArchitectureModule,20200222103449720573329f83421ab,,fa fa-puzzle-piece,0,,true,admin,2020-02-22 11:24:14.000,false,0x000000000000C76E
202002221125102043351fb0c9f1694,客户,MESQYJG_Customer,2020022211241477816490131385abc,MESQYJG_Customer,fa fa-puzzle-piece,0,,true,admin,2020-02-22 11:25:10.203,true,0x000000000000C76A
202002231603507879824c1707007a1,罐装工艺设置,MESGYLC_FPS,2020021112315564714004791f7cc51,MESGYLC_FPS,fa fa-puzzle-piece,0,,true,admin,2020-02-23 16:03:50.000,true,0x0000000000011953
202002232119229602763f4b713f37e,工艺流程,WorkFlow,2020021112315564714004791f7cc51,TechnologicalProcess/MESGYLC_WorkFlow,fa fa-puzzle-piece,0,,true,admin,2020-02-23 21:19:22.000,true,0x000000000000C777
202002240914416262269a37bd54e44,BPR核准,BPRApprovel,2020021112315564714004791f7cc51,TechnologicalProcess/MESGYLC_BPRApprovel,fa fa-puzzle-piece,0,,true,admin,2020-02-24 09:14:41.627,true,0x000000000000C778
2020022415334543102127281f12b99,企业,MESQYJG_Enterprise,2020022211241477816490131385abc,MESQYJG_Enterprise,fa fa-puzzle-piece,0,,true,admin,2020-02-24 15:33:45.000,true,0x000000000000C77E
2020022417491227329969df1457315,供应商,MESQYJG_Vendor,2020022211241477816490131385abc,MESQYJG_Vendor,fa fa-puzzle-piece,0,,true,admin,2020-02-24 17:49:12.273,true,0x000000000000C77F
202002251320517237721e586043ec4,工厂,MESQYJG_Factory,2020022211241477816490131385abc,MESQYJG_Factory,fa fa-puzzle-piece,0,,true,admin,2020-02-25 13:20:51.723,true,0x000000000000C780
2020022516221892765248e361688a7,场地,MESQYJG_Location,2020022211241477816490131385abc,MESQYJG_Location,fa fa-puzzle-piece,0,,true,admin,2020-02-25 16:22:18.927,true,0x000000000000C781
202002261444572651990a05da9c967,班次,MESQYJG_Shift,2020022211241477816490131385abc,MESQYJG_Shift,fa fa-puzzle-piece,0,,true,admin,2020-02-26 14:44:57.267,true,0x000000000000C782
202002261710300576861f89b1536aa,部门,MESQYJG_Division,2020022211241477816490131385abc,MESQYJG_Division,fa fa-puzzle-piece,0,,true,admin,2020-02-26 17:10:30.057,true,0x000000000000C783
202002271128226816423d5c868f7d8,资源组,MESQYJG_ResourceGroup,2020022211241477816490131385abc,MESQYJG_ResourceGroup,fa fa-puzzle-piece,0,,true,admin,2020-02-27 11:28:22.683,true,0x000000000000C785
202002271201397726018c39a3f2ff6,产线组,MESQYJG_ProductLineGroup,2020022211241477816490131385abc,MESQYJG_ProductLineGroup,fa fa-puzzle-piece,0,,true,admin,2020-02-27 12:01:39.773,true,0x000000000000C786
2020022716232691899927fac899ac6,产线,MESQYJG_ProductLine,2020022211241477816490131385abc,MESQYJG_ProductLine,fa fa-puzzle-piece,0,,true,admin,2020-02-27 16:23:26.920,true,0x000000000000C787
202002281332252384424e4fe2113e0,资源,MESQYJG_Resource,2020022211241477816490131385abc,MESQYJG_Resource,fa fa-puzzle-piece,0,,true,admin,2020-02-28 13:32:25.237,true,0x000000000000C78C
20200228164059313531620baa7e573,设备组,MESQYJG_EquipmentGroup,2020022211241477816490131385abc,MESQYJG_EquipmentGroup,fa fa-puzzle-piece,0,,true,admin,2020-02-28 16:40:59.313,true,0x000000000000C78D
202002291420340795718195d618820,在线调机记录表,OnLineEquipementAdjuestingForm,202002111630423331969cba7a8cc01,CPReport/OnLineEquipementAdjuestingForm,fa fa-puzzle-piece,0,,true,admin,2020-02-29 14:20:34.000,true,0x000000000002AF9A
2020022915423027817890248f89f05,设备,MESQYJG_Equipment,2020022211241477816490131385abc,MESQYJG_Equipment,fa fa-puzzle-piece,0,,true,admin,2020-02-29 15:42:30.280,true,0x000000000000C78F
20200302122832846067634525c479c,生产模型,ProductionModel,0,ProductionModel,fa  fa-rocket,4,,true,admin,2020-03-02 12:28:32.000,false,0x000000000002710A
2020030214443083349040cba45f930,产品组,MESSCMX_ProductFamily,2020030214453246301546be8417a3c,MESSCMX_ProductFamily,fa fa-puzzle-piece,0,,true,admin,2020-03-02 14:44:30.000,true,0x000000000000C795
2020030214453246301546be8417a3c,生产模型,ProductionModel,20200302122832846067634525c479c,ProductionModel,fa fa-puzzle-piece,0,,true,admin,2020-03-02 14:45:32.463,false,0x000000000000C794
2020030220455988009401aa53cdf70,产品合格供应商,MESSCMX_ProductAllowDeliver,2020030214453246301546be8417a3c,MESSCMX_ProductAllowDeliver,fa fa-puzzle-piece,0,,true,admin,2020-03-02 20:45:59.880,true,0x000000000000C796
20200303153828104832804a7229878,物料档案,MESSCMX_Product,2020030214453246301546be8417a3c,MESSCMX_Product,fa fa-puzzle-piece,0,,true,admin,2020-03-03 15:38:28.000,true,0x000000000004650B
202003041534261831312b7a1e4cecc,设备数据采集组,MESSCMX_EquiDataCollectGroup,2020030214453246301546be8417a3c,MESSCMX_EquiDataCollectGroup,fa fa-puzzle-piece,0,,true,admin,2020-03-04 15:34:26.183,true,0x000000000000C798
202003050951212635917958028d6c8,物料供应商PN,MESSCMX_ProductVendorPN,2020030214453246301546be8417a3c,MESSCMX_ProductVendorPN,fa fa-puzzle-piece,0,,true,admin,2020-03-05 09:51:21.000,true,0x000000000000C79A
2020030512374397257002288a2d13b,计量单位,MESSCMX_UOM,2020030214453246301546be8417a3c,MESSCMX_UOM,fa fa-puzzle-piece,0,,true,admin,2020-03-05 12:37:43.973,true,0x000000000000C79B
2020030520345734915845d2a1d6a05,产品数据采集,MESSCMX_EquiProDataCollectGroup,2020030214453246301546be8417a3c,MESSCMX_EquiProDataCollectGroup,fa fa-puzzle-piece,0,,true,admin,2020-03-05 20:34:57.350,true,0x000000000000C79D
202003061029011719239f0ee60d7df,产品数据采集审批,MESSCMX_EquiProDataCollectGroupApprove,2020030214453246301546be8417a3c,MESSCMX_EquiProDataCollectGroupApprove,fa fa-puzzle-piece,0,,true,admin,2020-03-06 10:29:01.173,true,0x000000000000C79E
2020030611040029620837bf90b2b87,包装方式,MESSCMX_PackageWay,2020030214453246301546be8417a3c,MESSCMX_PackageWay,fa fa-puzzle-piece,0,,false,admin,2020-03-06 11:04:00.000,true,0x0000000000040741
202003092020333893827488b964a16,BOM,MESSCMX_BOM,2020030214453246301546be8417a3c,MESSCMX_BOM,fa fa-puzzle-piece,0,,false,admin,2020-03-09 20:20:33.000,true,0x000000000003A983
202003102127523208471f459246f6b,条码定义,MESSCMX_BarCodeDef,2020030214453246301546be8417a3c,MESSCMX_BarCodeDef,fa fa-puzzle-piece,0,,true,admin,2020-03-10 21:27:52.320,true,0x000000000000C7A4
202003111329023035981a094e7c950,在线产品外观检验表,OnlineProductAppearanceCheck,202002111630423331969cba7a8cc01,OnlineProductAppearanceCheck,fa fa-puzzle-piece,0,,true,admin,2020-03-11 13:29:02.000,true,0x000000000000D2F1
